"en","sw"
"Specify the data format","Bainisha umbizo la data"
"Fill missing values?","Jaza thamani zinazokosekana?"
"Requested data was retrieved!","Data iliyoombwa ilipatikana!"
"Click to see the imported data","Bofya ili kuona data iliyoingizwa"
"Regression table","Jedwali la urejeshaji"
"Import a dataset from an environment","Ingiza seti ya data kutoka kwa mazingira"
"Select a dataset:","Chagua seti ya data:"
"List of datasets...","Orodha ya seti za data..."
"No data selected!","Hakuna data iliyochaguliwa!"
"No dataset here...","Hakuna seti ya data hapa..."
"Not a data.frame","Sio data.frame"
"Select source","Chagua chanzo"
"Select a data source:","Chagua chanzo cha data:"
"Yes","Ndiyo"
"No","Hapana"
"Coefficient plot","Mchoro wa mgawo"
"Select outcome variable","Chagua kigezo cha matokeo"
"Choose regression analysis","Chagua uchanganuzi wa marejeleo"
"Covariables to format as categorical","Vigezo vinavyoweza kubadilishwa ili viundwe kama vya kategoria"
"Select variable to stratify baseline","Chagua kigezo ili kuweka tabaka la msingi"
"Select models to plot","Chagua mifano ya kuchora"
"Creating regression models failed with the following error:","Kuunda mifumo ya urejeshaji kumeshindwa kutokana na hitilafu ifuatayo:"
"Creating a regression table failed with the following error:","Kuunda jedwali la urejelezaji kulishindwa kutokana na hitilafu ifuatayo:"
"Saving the plot. Hold on for a moment..","Kuhifadhi njama. Subiri kwa muda.."
"Running model assumptions checks failed with the following error:","Kuendesha ukaguzi wa mawazo ya modeli kulishindwa na hitilafu ifuatayo:"
"Select checks to plot","Chagua ukaguzi wa kupanga"
"Multivariable regression model checks","Ukaguzi wa modeli ya urejeshaji unaoweza kubadilika-badilika"
"Grouped by {get_label(data,ter)}","Imepangwa kwa makundi kulingana na {get_label(data,ter)}"
"Option to perform statistical comparisons between strata in baseline table.","Chaguo la kufanya ulinganisho wa takwimu kati ya tabaka katika jedwali la msingi."
"Generating the report. Hold on for a moment..","Inazalisha ripoti. Subiri kidogo.."
"Choose a name for the column to be created or modified, then enter an expression before clicking on the button below to create the variable, or cancel to exit without saving anything.","Chagua jina la safu wima itakayoundwa au kurekebishwa, kisha ingiza usemi kabla ya kubofya kitufe kilicho hapa chini ili kuunda kigezo, au ghairi ili kutoka bila kuhifadhi chochote."
"Other","Nyingine"
"Hour of the day","Saa ya siku"
"Breaks","Mapumziko"
"By day of the week","Kwa siku ya wiki"
"By weekday","Kufikia siku ya wiki"
"By week number and year","Kwa idadi ya wiki na mwaka"
"By week number","Kwa nambari ya wiki"
"By month and year","Kwa mwezi na mwaka"
"By month only","Kwa mwezi pekee"
"By quarter of the year","Kufikia robo ya mwaka"
"By year","Kwa mwaka"
"Keep only most common","Weka pekee ya kawaida"
"Number","Nambari"
"Combine below percentage","Changanya chini ya asilimia"
"Percentage","Asilimia"
"By specified numbers","Kwa nambari zilizoainishwa"
"By quantiles (groups of equal size)","Kwa quantiles (vikundi vya ukubwa sawa)"
"Please fill in web address and API token, then press 'Connect'.","Tafadhali jaza anwani ya wavuti na tokeni ya API, kisha bonyeza 'Unganisha'."
"Text or character to split string by","Maandishi au herufi ya kugawanya mfuatano kwa"
"Split the variable","Gawanya kigezo"
"Variable to split:","Kinachoweza kubadilika hadi kugawanyika:"
"Direction:","Mwelekeo:"
"Split string to multiple columns. Keep number of rows.","Gawanya mfuatano katika safu wima nyingi. Weka idadi ya safu wima."
"Split string to multiple observations (rows) in the same column. Also ads id and instance columns","Gawanya mfuatano katika uchunguzi mwingi (safu) katika safu wima moja. Pia vitambulisho vya matangazo na safu wima za mfano"
"Split character string","Gawanya mfuatano wa herufi"
"Split text","Gawanya maandishi"
"Select delimiter","Chagua kidhibiti"
"Browse data preview","Vinjari hakikisho la data"
"Original data","Data asili"
"Preview of result","Hakikisho la matokeo"
"No character variables with accepted delimiters detected.","Hakuna vigezo vya herufi vilivyo na vidhibiti vinavyokubalika vilivyogunduliwa."
"Apply split","Tumia mgawanyiko"
"Stacked relative barplot","Kipande cha baruni kilichopangwa kwa mirundiko"
"Side-by-side barplot","Kipande cha baruni cha kando kwa kando"
"Select table theme","Chagua mandhari ya jedwali"
"Letters","Barua"
"Words","Maneno"
"Shorten to first letters","Fupisha herufi za kwanza"
"Shorten to first words","Fupisha maneno ya kwanza"
"Calculating. Hold tight for a moment..","Kuhesabu. Shikilia kwa muda.."
"Overview of missing observations","Muhtasari wa uchunguzi uliokosekana"
"Analysis method for missingness overview","Mbinu ya uchambuzi wa muhtasari wa kukosekana"
"Overview of missings across variables","Muhtasari wa mambo yanayokosekana katika vigezo"
"Select a variable for grouped overview","Chagua kigezo cha muhtasari wa kikundi"
"Select outcome variable for overview","Chagua kigezo cha matokeo kwa muhtasari"
"No outcome measure chosen","Hakuna kipimo cha matokeo kilichochaguliwa"
"There is a significant difference in data missingness in {n_nonmcar} {ifelse(n_nonmcar==1,'variable','variables')} grouped by the selected outcome/grouping variable {outcome}.","Kuna tofauti kubwa katika ukosefu wa data katika {n_nonmcar} {ifelse(n_nonmcar==1,'variable','variables')} zilizopangwa kwa mujibu wa kigezo kilichochaguliwa cha matokeo/upangaji {outcome}."
"Include group differences","Jumuisha tofauti za vikundi"
"Error:","Hitilafu:"
"Download table","Pakua jedwali"
"Welcome to FreesearchR","Karibu kwenye FreesearchR"
"A free data analysis tool for clinicians, students, and learners","Zana ya uchambuzi wa data bila malipo kwa madaktari, wanafunzi, na wanafunzi"
"Core Features","Vipengele vya Msingi"
"Import Data","Ingiza Data"
"Data Management","Usimamizi wa Data"
"Filter, modify, and create new variables. Prepare your data efficiently for analysis.","Chuja, rekebisha, na uunde vigeu vipya. Tayarisha data yako kwa ufanisi kwa ajili ya uchambuzi."
"Descriptive Statistics","Takwimu za Maelezo"
"Additional Capabilities","Uwezo wa Ziada"
"Data Visualization","Uonyeshaji wa Data"
"Create simple, clean plots for quick insights and overview","Unda michoro rahisi na safi kwa ajili ya maarifa ya haraka na muhtasari"
"Regression Models","Mifumo ya Urejeshaji"
"Build simple regression models for advanced analysis","Jenga mifumo rahisi ya urejelezaji kwa ajili ya uchambuzi wa hali ya juu"
"Export & Learn","Hamisha na Ujifunze"
"Download Results","Pakua Matokeo"
"Get Modified Data","Pata Data Iliyorekebishwa"
"Reproducible Code","Nambari Inayoweza Kurudiwa"
"Full Documentation","Nyaraka Kamili"
"Share Feedback","Shiriki Maoni"
"Contact Us","Wasiliana Nasi"
"FreesearchR is available in multiple languages. To help with translations, please contact us at info@freesearchr.org","FreesearchR inapatikana katika lugha nyingi. Ili kukusaidia na tafsiri, tafadhali wasiliana nasi kwa info@freesearchr.org."
"Home","Nyumbani"
"Start with FreesearchR for basic data evaluation and analysis.","Anza na FreesearchR kwa tathmini na uchambuzi wa data ya msingi."
"(Read more)","(Soma zaidi)"
"Run the FreesearchR app locally when working with sensitive data.","Endesha programu ya FreesearchR ndani ya eneo lako unapofanya kazi na data nyeti."
"Load data from spreadsheets, REDCap servers, or try with sample data. Multiple sources supported for maximum flexibility.","Pakia data kutoka kwa lahajedwali, seva za REDCap, au jaribu na data ya sampuli. Vyanzo vingi vinaungwa mkono kwa unyumbufu wa hali ya juu."
"Evaluate data with descriptive analyses, inspect correlations, and review missing observations effectively.","Tathmini data kwa kutumia uchambuzi wa maelezo, kagua uhusiano, na uhakiki uchunguzi unaokosekana kwa ufanisi."
"Export results directly to your text editor","Hamisha matokeo moja kwa moja kwenye kihariri chako cha maandishi"
"Save your processed datasets for later","Hifadhi seti zako za data zilizosindikwa kwa ajili ya baadaye"
"Learn and reproduce results in R","Jifunze na uzalishe matokeo katika R"
"When you need more advanced tools, you'll be prepared to use R directly.","Unapohitaji zana za hali ya juu zaidi, utakuwa tayari kutumia R moja kwa moja."
"The app contains a selelct number of features and will guide you through key analyses.","The app contains a selelct number of features and will guide you through key analyses."
"Sort by Levels","Sort by Levels"
"Maximum number of observations:","Maximum number of observations:"
"setting to 0 includes all","setting to 0 includes all"
"Select a dataset from your environment or sample dataset from a package.","Select a dataset from your environment or sample dataset from a package."
"Select a sample dataset from a package.","Select a sample dataset from a package."
"Data ready to be imported!","Data ready to be imported!"
"Data has %s obs. of %s variables.","Data has %s obs. of %s variables."
"Data successfully imported!","Data successfully imported!"
"Click to see data","Click to see data"
"No data present.","No data present."
"You have provided a complete dataset with no missing values.","You have provided a complete dataset with no missing values."
"Start by loading data.","Start by loading data."
"Data classes and missing observations","Data classes and missing observations"
"We encountered the following error showing missingness:","We encountered the following error showing missingness:"
"Please confirm data reset!","Please confirm data reset!"
"Sure you want to reset data? This cannot be undone.","Sure you want to reset data? This cannot be undone."
"Confirm","Confirm"
"The filtered data","The filtered data"
"Reorder factor levels","Reorder factor levels"
"Split a character string by a common delimiter","Split a character string by a common delimiter"
"Create new variables","Create new variables"
"Select data types to include","Select data types to include"
"Uploaded data overview","Uploaded data overview"
"We encountered the following error browsing your data:","We encountered the following error browsing your data:"
"Data import","Data import"
"Data import formatting","Data import formatting"
"Data modifications","Data modifications"
"Variables filter","Variables filter"
"Data filter","Data filter"
"Data characteristics table","Data characteristics table"
"Level of detail","Level of detail"
"Minimal","Minimal"
"Extensive","Extensive"
"The dataset without text variables","The dataset without text variables"
"The data includes {n_col} variables. Please limit to 100.","The data includes {n_col} variables. Please limit to 100."
"Creating the table. Hold on for a moment..","Creating the table. Hold on for a moment.."
"File upload","File upload"
"REDCap server export","REDCap server export"
"Local or sample data","Local or sample data"
"Sample data","Sample data"
"Settings","Settings"
"Create new factor","Create new factor"
"Choose color palette","Choose color palette"
"Optional filter logic (e.g., ⁠[gender] = 'female')","Optional filter logic (e.g., ⁠[gender] = 'female')"
"Drop empty","Drop empty"
"Choose variable:","Choose variable:"
"An empty data set was imported. Please review data filter.","An empty data set was imported. Please review data filter."
"An error was encountered exporting data. Please review data filter.","An error was encountered exporting data. Please review data filter."
"Likert diagram","Likert diagram"
"Modify factor","Modify factor"
"Create factor/categorical variable from other variables.","Create factor/categorical variable from other variables."
